condition,target,horizon,benchmark,n_triggers,n_baseline_days,trigger_rate_pct,effective_independent_n,mean_return_pct,baseline_return_pct,lift_pct,hit_rate_pct,baseline_hit_rate_pct,mean_tradable_pct,t_stat,p_value,below_inference_floor,min_detectable_effect_pct,underpowered,note,in_sample_lift_pct,oos_lift_pct,oos_n_triggers,sign_held_oos,family,family_size,family_untestable_rows,alpha,bonferroni_threshold,survives_bonferroni,survives_bh_fdr,expected_false_positives_at_alpha,n_nominally_significant,family_max_abs_t,family_null_p,family_null_max_abs_t_p95,generated_at
QQQ:top1_of_peers_5d,QQQ,5,SPY,5,549,0.9107468123861566,5,-0.02788314110925949,0.05962103516508992,-0.08750417627434941,60.0,54.644808743169406,-0.017362512250016504,-0.2512192239596855,0.8140225238853647,False,0.975290384654228,True,,-0.12790899770977787,0.08292072516867932,1,False,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524649+00:00
QQQ:top10pct_5d_return AND next-session-is-Friday,QQQ,1,SPY,7,553,1.2658227848101267,7,0.32394266146455386,0.014714396413050085,0.3092282650515038,71.42857142857143,53.52622061482821,0.20663110869353352,1.3409742887146967,0.2284618486222948,False,0.6456791524124628,True,,-0.054727748257224755,0.5816584162790812,4,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524658+00:00
SMH:top10pct_5d_return,SMH,1,SPY,58,553,10.488245931283906,58,-0.012589874142675692,0.10682715046113275,-0.11941702460380843,48.275862068965516,56.41952983725136,0.0625599399643988,-0.48911542666841124,0.6266368546653388,False,0.6836170986635908,False,,-0.3533255841242894,-0.05339437259825972,38,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524667+00:00
SMH:top1_of_peers_5d,SMH,1,SPY,187,553,33.815551537070526,187,0.033291796164653935,0.10682715046113275,-0.07353535429647885,55.61497326203209,56.41952983725136,-0.050556691210794064,-0.5963028140703163,0.5516979669215929,False,0.34529267206486997,False,,-0.09239303844075272,-0.06236082646878413,82,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524676+00:00
SMH:top10pct_5d_return,SMH,5,SPY,58,549,10.564663023679417,23,0.39175652575303455,0.4761429473298395,-0.08438642157680512,53.44827586206896,58.65209471766849,0.4643456453630719,-0.10360214746934372,0.9184237284630798,False,2.280666821939874,False,,-2.099285105188213,0.6925710364382924,38,False,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524685+00:00
SMH:top1_of_peers_5d,SMH,5,SPY,186,549,33.87978142076503,58,0.2861473089393288,0.4761429473298395,-0.1899956383905106,54.83870967741935,58.65209471766849,0.21174795218840775,-0.41408430874922986,0.6803664454064419,False,1.2847330271951989,False,,-0.27850069488882345,-0.14127229024915483,81,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524694+00:00
SMH:top10pct_5d_return AND next-session-is-Friday,SMH,1,SPY,9,553,1.6274864376130198,9,0.23163585310059057,0.10682715046113275,0.12480870263945783,55.55555555555556,56.41952983725136,0.08785905732946464,0.18233822639865066,0.8598530815425145,False,1.9165721543569212,True,,-0.7948604217248096,0.8194657961421394,5,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524703+00:00
XLB:top10pct_5d_return,XLB,1,SPY,57,550,10.363636363636363,57,-0.06700448432792741,-0.027958036732769927,-0.0390464475951575,54.385964912280706,49.09090909090909,0.02256671311619678,-0.3123752355291308,0.7559156101473278,False,0.34999590502508104,False,,-0.17100499303328406,0.011079053850780264,36,False,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524712+00:00
XLB:top1_of_peers_5d,XLB,1,SPY,15,550,2.727272727272727,15,0.10492464610374268,-0.027958036732769927,0.13288268283651253,66.66666666666666,49.09090909090909,0.17271010036319812,0.6683750834241474,0.5147636215630284,False,0.5566807039485647,True,,0.26260321282695887,0.03870066421514789,10,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524721+00:00
XLB:top10pct_5d_return,XLB,5,SPY,57,546,10.43956043956044,23,-0.32885428713108134,-0.12451419910661259,-0.2043400880244688,43.859649122807014,46.7032967032967,-0.24028900926732621,-0.5103313813858874,0.6149017649390562,False,1.1211386705531228,False,,-0.4323284476066989,-0.2106600505913831,36,True,strong_week_reversal,67,3,0.05,0.0007462686567164179,False,False,3.35,3,6.029213993200932,0.03792415169660679,5.0008420660985635,2026-09-09T21:39:24.524730+00:00
