predictor,horizon,start_date,top_minus_bottom_pct,top_k_excess_vs_spy_pct
momentum_20d,5,2000-08-08,-1.229803981973195,0.26161252835542237
momentum_20d,5,2000-08-15,-2.199978754529637,-0.43947523894620755
momentum_20d,5,2000-08-22,-0.7845038857260622,-0.7242456448109096
momentum_20d,5,2000-08-29,-4.70073977821202,-1.8491720065185218
momentum_20d,5,2000-09-06,-4.306018866723056,-1.9758235750303
momentum_20d,5,2000-09-13,-0.9812422337601341,-1.2886179594255123
momentum_20d,5,2000-09-20,9.325335915973987,3.934244233115084
momentum_20d,5,2000-09-27,0.7792311905052143,2.0127823446163413
momentum_20d,5,2000-10-04,8.138692128910673,2.967469077078011
momentum_20d,5,2000-10-11,2.2939441917146364,1.0891979417347244
momentum_20d,5,2000-10-18,-1.948983013801094,-1.7860029101798143
momentum_20d,5,2000-10-25,-1.3914755001648291,0.9203837240252607
momentum_20d,5,2000-11-01,6.593128942850808,2.496763751811944
