model_version,predictor,horizon,n_sectors,ic_mean,ic_median,ic_std,pct_days_positive,n_days,overlap_adjusted_t,effective_independent_n,min_detectable_ic,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,momentum_120d,60,12,-0.009368599737992875,-0.013986013986013986,0.2745115460151145,48.02110817941953,379,-0.08577447108872643,6.3,0.3058261850340666,2026-09-16T18:07:12.066201+00:00,0.9347925875256553,17,False,0,0.85
v0.5_expanded_universe,momentum_120d,120,12,0.07156636466981295,0.07692307692307693,0.2155527272582558,64.26332288401254,319,0.5413275788129474,2.7,0.3701747867989531,2026-09-16T18:07:12.229648+00:00,,17,False,0,0.85
v0.5_expanded_universe,momentum_252d,5,12,0.06214315485838665,0.1258741258741259,0.4043143449454534,58.609271523178805,302,1.1945177749759617,60.4,0.1456661736213881,2026-09-16T18:07:12.376759+00:00,0.23702356017147064,17,False,0,0.85
v0.5_expanded_universe,momentum_252d,20,12,0.06303278602930174,0.07692307692307693,0.3210189598134184,61.32404181184668,287,0.7438095850821125,14.3,0.2372808907303354,2026-09-16T18:07:12.537616+00:00,0.4699290735985314,17,False,0,0.85
v0.5_expanded_universe,momentum_252d,60,12,0.010880819585273023,0.055944055944055944,0.26571246887149597,57.89473684210527,247,0.08308498123136426,4.1,0.36668835194083854,2026-09-16T18:07:12.687334+00:00,,17,False,0,0.85
v0.5_expanded_universe,momentum_252d,120,12,-0.05311132717549832,-0.006993006993006993,0.25435540561836206,46.524064171122994,187,-0.2606611832689913,1.6,0.5705173061304303,2026-09-16T18:07:12.809686+00:00,,17,False,0,0.85
v0.5_expanded_universe,breadth_sma200,5,12,0.02479762701210879,0.027996543352780914,0.3497821871869094,51.13636363636363,352,0.5948380809918202,70.4,0.11672648045352596,2026-09-16T18:07:12.970220+00:00,0.5538862477187987,17,False,0,0.85
v0.5_expanded_universe,breadth_sma200,20,12,0.03003617955282559,0.013986013986013986,0.32509487341577753,51.632047477744806,337,0.3792578017688412,16.9,0.22175233404736036,2026-09-16T18:07:13.120498+00:00,0.7095136100844245,17,False,0,0.85
v0.5_expanded_universe,breadth_sma200,60,12,0.0656108456475699,0.03152369107522558,0.32998586616564557,54.54545454545454,297,0.4423671776151053,5.0,0.41528932775622507,2026-09-16T18:07:13.265308+00:00,0.6810903977803112,17,False,0,0.85
v0.5_expanded_universe,breadth_sma200,120,12,0.02185004719294102,-0.013986013986013986,0.25949021166859354,47.67932489451477,237,0.11833547244338885,2.0,0.5170058552772766,2026-09-16T18:07:13.395709+00:00,,17,False,0,0.85
v0.5_expanded_universe,breadth_sma50,5,12,-0.00739938711050943,-0.027996543352780914,0.33811795965446223,47.211155378486055,502,-0.21927764863649535,100.4,0.0944842487971579,2026-09-16T18:07:13.646238+00:00,0.8268834172767923,17,False,0,0.85
v0.5_expanded_universe,breadth_sma50,20,12,0.02719566472865885,0.006993006993006993,0.3714351144713519,50.308008213552355,487,0.36129853693030745,24.4,0.21076160974029431,2026-09-16T18:07:13.894702+00:00,0.7211180080230074,17,False,0,0.85
v0.5_expanded_universe,breadth_sma50,60,12,-0.025569393077514768,-0.013986013986013986,0.3894872602506553,48.09843400447427,447,-0.17918650515593923,7.5,0.3995518555079554,2026-09-16T18:07:14.085654+00:00,0.8632476388440933,17,False,0,0.85
v0.5_expanded_universe,breadth_sma50,120,12,-0.05011331472540619,-0.04895104895104895,0.3383728154589752,45.99483204134367,387,-0.26596379697813083,3.2,0.5275803805834336,2026-09-16T18:07:14.241607+00:00,,17,False,0,0.85
