model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,material,30,1,533,476384,-0.010118058303375886,-0.005539171379524531,49.15572232645403,49.44422460077066,-1.0142812141236048,533.0,0.02793166515849518,True,2026-09-11T17:58:40.023570+00:00,0.3109096470382914,105,False,3,5.25
v0.5_expanded_universe,material,90,1,508,745112,-0.02153308775716679,-0.005022101759687115,49.60629921259843,49.66735664133848,-1.179643941405476,508.0,0.05111088490670489,True,2026-09-11T17:58:40.452019+00:00,0.23869508193158706,105,False,3,5.25
v0.5_expanded_universe,officer_change,5,1,552,29783,0.017480524738431757,0.014952840049049359,51.63043478260869,49.528718864590545,1.2050146909651258,552.0,0.040618151491918573,True,2026-09-11T17:58:40.880630+00:00,0.22871491440914282,105,False,3,5.25
v0.5_expanded_universe,officer_change,30,1,552,147163,-0.008052417958470252,-0.015010475799386474,45.65217391304348,49.28766651920072,-1.0888628652477377,552.0,0.02070671248264755,True,2026-09-11T17:58:41.330219+00:00,0.2766903731439373,105,False,3,5.25
v0.5_expanded_universe,officer_change,90,1,552,357902,-0.005423709941080549,-0.010304005015422994,45.83333333333333,49.48924876572044,-0.7885116412894279,552.0,0.01925956072150276,True,2026-09-11T17:58:41.824679+00:00,0.4307366055272185,105,False,3,5.25
v0.5_expanded_universe,redflag,5,1,48,167,-0.40064443767692537,-0.2977431627263976,43.75,43.68055555555554,-1.767745244105001,48.0,0.6345962062329598,True,2026-09-11T17:58:42.180906+00:00,0.08359488124517953,105,False,3,5.25
v0.5_expanded_universe,redflag,30,1,482,2683,-0.03868371227444482,-0.05440459700196351,46.88796680497925,48.3945037212672,-0.5983257791422435,482.0,0.18102912851878858,True,2026-09-11T17:58:42.600209+00:00,0.5499042088964499,105,False,3,5.25
v0.5_expanded_universe,redflag,90,1,552,8221,-0.03223764077809197,-0.04248915703932253,46.55797101449276,48.57442472933706,-0.9888893062680764,552.0,0.09127957356451344,True,2026-09-11T17:58:43.028056+00:00,0.3231513499264502,105,False,3,5.25
v0.5_expanded_universe,agreement,5,2,554,17032,-0.034563411498214486,0.016086720286047476,51.44404332129964,48.762684951858525,-0.8538224429293265,277.0,0.11334622672012748,True,2026-09-11T17:58:43.552877+00:00,0.3939438075735585,105,False,3,5.25
v0.5_expanded_universe,agreement,30,2,554,83310,-0.009389327884784577,0.012671247935458669,52.707581227436826,49.16408571661325,-0.44649189483047513,277.0,0.058881512479366946,True,2026-09-11T17:58:43.995660+00:00,0.6555920802480671,105,False,3,5.25
